name,emails,role,groups,days online,posts,edits to posts,answers,edits to answers,followups,replies to followups,instructor good question,instructor good answer,instructor good comment,student good question,student thanks on answer,student helpful on followups,good question given,thanks on answers given,helpful on followups given,post views,live q&a upvotes
,jeff@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasandra Spencer,lasandraspencer@dpi.dev,student,,5,1,0,1,0,1,0,0,0,0,1,1,2,5,2,2,26,0
Marguerite Turcotte,margueriteturcotte@dpi.dev,ta,,6,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,14,0
Josiah Ernser,josiahernser@dpi.dev,student,,7,4,0,1,0,1,1,0,0,0,0,0,1,0,3,0,22,0
Andres Fadel,andresfadel@dpi.dev,ta,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
Cruz Armstrong,cruzarmstrong@dpi.dev,student,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Malcom Ziemann,malcomziemann@dpi.dev; jack@toy.co; abe@kuhic.name,student,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darcy Hilll,darcyhilll@dpi.dev,student,,6,3,0,0,0,1,1,0,0,0,0,0,0,1,3,0,6,0
Janean Dach,janeandach@dpi.dev,student,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Napoleon Carter, napoleoncarter@dpi.dev,student,,4,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,0
Marivel Ullrich II, marivelullrichii@dpi.dev; shantelle_ledner@herman-senger.net,instructor,,6,0,0,3,1,6,1,0,0,0,0,1,1,1,3,0,25,0
Micaela Fritsch, micaelafritsch@dpi.dev,student,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Gina Hayes, ginahayes@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Von Bayer, vonbayer@dpi.dev,student,,6,4,3,1,0,0,0,0,0,0,3,0,0,3,1,5,21,0
Winford Hilpert, winfordhilpert@dpi.dev,student,,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0
Caren Reichel, carenreichel@dpi.dev,student,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
Sage Walter Jr., sagewalterjr@dpi.dev,student,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
Dwana Paucek, dwanapaucek@dpi.dev,student,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
Mandi Schoen, mandischoen@dpi.dev,student,,6,3,1,3,0,2,2,0,2,0,3,2,2,0,0,1,22,0
Darnell Haley, darnellhaley@dpi.dev,student,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
Graham Towne, grahamtowne@dpi.dev,student,,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0
Shondra Gerlach, shondragerlach@dpi.dev,student,,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22,0
Coletta Barrows, colettabarrows@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marleen Heidenreich, marleenheidenreich@dpi.dev,student,,6,3,0,0,0,1,1,1,0,0,1,0,1,1,1,0,22,0
Jeni Kuhic, jenikuhic@dpi.dev,student,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
Dee Smith, deesmith@dpi.dev,instructor,,7,0,0,10,6,2,2,0,1,0,0,2,0,0,0,0,32,0
Anamaria Keebler, anamariakeebler@dpi.dev,student,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
Man Effertz, maneffertz@dpi.dev,instructor,,6,0,0,6,0,0,1,0,0,0,0,4,0,1,0,0,19,0
Angelo Kihn, angelokihn@dpi.dev,student,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
Zack Lueilwitz, zacklueilwitz@dpi.dev,ta,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Edmundo Nader, edmundonader@dpi.dev,student,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
Letisha Botsford, letishabotsfor@dpi.dev,ta,,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,22,0
Rachele Funk, rachelefunk@dpi.dev,student,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Leia Thiel, leiathiel@dpi.dev,student,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozell Jaskolski, mozelljaskolski@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evette D'Amore, evettedamore@dpi.dev,student,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
