name,emails,role,groups,days online,posts,edits to posts,answers,edits to answers,followups,replies to followups,instructor good question,instructor good answer,instructor good comment,student good question,student thanks on answer,student helpful on followups,good question given,thanks on answers given,helpful on followups given,post views,live q&a upvotes
,jeff@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasandra Spencer,lasandraspencer@dpi.dev,student,,5,3,0,1,0,0,0,0,0,0,0,0,0,2,2,0,19,0
Marguerite Turcotte,margueriteturcotte@dpi.dev,ta,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Josiah Ernser,josiahernser@dpi.dev,student,,6,5,0,4,0,2,0,0,1,1,0,1,0,0,4,1,32,0
Andres Fadel,andresfadel@dpi.dev,ta,,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0
Cruz Armstrong,cruzarmstrong@dpi.dev,student,,5,0,0,3,2,0,1,0,1,0,0,1,0,0,0,0,53,0
Malcom Ziemann,malcomziemann@dpi.dev; jack@toy.co; abe@kuhic.name,student,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darcy Hilll,darcyhilll@dpi.dev,student,,7,13,0,0,0,8,2,1,0,0,4,0,2,5,4,6,32,0
Janean Dach,janeandach@dpi.dev,student,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Napoleon Carter, napoleoncarter@dpi.dev,student,,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,11,0
Marivel Ullrich II, marivelullrichii@dpi.dev; shantelle_ledner@herman-senger.net,instructor,,6,0,7,18,6,3,1,0,1,0,0,7,1,2,13,1,76,0
Micaela Fritsch, micaelafritsch@dpi.dev,student,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
Gina Hayes, ginahayes@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Von Bayer, vonbayer@dpi.dev,student,,7,6,0,1,0,2,1,0,1,0,2,0,1,0,5,1,45,0
Winford Hilpert, winfordhilpert@dpi.dev,student,,7,7,1,4,3,0,1,0,1,0,1,0,0,0,7,0,58,0
Caren Reichel, carenreichel@dpi.dev,student,,8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,61,0
Sage Walter Jr., sagewalterjr@dpi.dev,student,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
Dwana Paucek, dwanapaucek@dpi.dev,student,,5,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,49,0
Mandi Schoen, mandischoen@dpi.dev,student,,6,7,1,7,3,3,2,1,3,1,2,1,0,1,1,0,59,0
Darnell Haley, darnellhaley@dpi.dev,student,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
Graham Towne, grahamtowne@dpi.dev,student,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
Shondra Gerlach, shondragerlach@dpi.dev,student,,7,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,58,0
Coletta Barrows, colettabarrows@dpi.dev,ta,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Marleen Heidenreich, marleenheidenreich@dpi.dev,student,,7,4,1,1,0,2,1,0,0,0,0,0,0,0,2,0,59,0
Jeni Kuhic, jenikuhic@dpi.dev,student,,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,47,0
Dee Smith, deesmith@dpi.dev,instructor,,7,0,1,17,12,3,1,1,4,0,0,12,3,1,1,1,40,0
Anamaria Keebler, anamariakeebler@dpi.dev,student,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
Man Effertz, maneffertz@dpi.dev,instructor,,5,0,0,7,1,0,2,0,5,0,0,4,0,0,2,0,99,0
Angelo Kihn, angelokihn@dpi.dev,student,,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0
Zack Lueilwitz, zacklueilwitz@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmundo Nader, edmundonader@dpi.dev,student,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0
Letisha Botsford, letishabotsfor@dpi.dev,ta,,6,0,0,3,0,2,1,0,0,0,0,3,0,0,1,0,55,0
Rachele Funk, rachelefunk@dpi.dev,student,,7,2,0,0,1,1,0,0,1,0,0,0,0,0,2,0,41,0
Leia Thiel, leiathiel@dpi.dev,student,,5,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,41,0
Mozell Jaskolski, mozelljaskolski@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evette D'Amore, evettedamore@dpi.dev,student,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0
