name,emails,role,groups,days online,posts,edits to posts,answers,edits to answers,followups,replies to followups,instructor good question,instructor good answer,instructor good comment,student good question,student thanks on answer,student helpful on followups,good question given,thanks on answers given,helpful on followups given,post views,live q&a upvotes
,jeff@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasandra Spencer,lasandraspencer@dpi.dev,student,,5,4,0,1,0,0,1,0,0,0,2,1,0,3,0,1,42,0
Marguerite Turcotte,margueriteturcotte@dpi.dev,ta,,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,48,0
Josiah Ernser,josiahernser@dpi.dev,student,,7,17,2,1,1,7,0,1,1,1,2,0,0,2,13,1,55,0
Andres Fadel,andresfadel@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cruz Armstrong,cruzarmstrong@dpi.dev,student,,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,0
Malcom Ziemann,malcomziemann@dpi.dev; jack@toy.co; abe@kuhic.name,student,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darcy Hilll,darcyhilll@dpi.dev,student,,7,2,0,1,0,2,1,0,0,0,0,0,2,0,3,2,45,0
Janean Dach,janeandach@dpi.dev,student,,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0
Napoleon Carter, napoleoncarter@dpi.dev,student,,4,12,0,1,0,5,5,1,0,1,0,0,0,0,6,1,25,0
Marivel Ullrich II, marivelullrichii@dpi.dev; shantelle_ledner@herman-senger.net,instructor,,6,0,0,36,5,5,10,0,0,0,0,11,1,4,25,7,88,0
Micaela Fritsch, micaelafritsch@dpi.dev,student,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Gina Hayes, ginahayes@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Von Bayer, vonbayer@dpi.dev,student,,7,1,0,1,0,0,0,0,0,0,2,0,0,5,1,0,35,0
Winford Hilpert, winfordhilpert@dpi.dev,student,,7,9,1,6,0,1,1,1,4,0,4,1,1,1,3,0,80,0
Caren Reichel, carenreichel@dpi.dev,student,,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,80,0
Sage Walter Jr., sagewalterjr@dpi.dev,student,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Dwana Paucek, dwanapaucek@dpi.dev,student,,6,4,0,7,0,0,1,0,5,0,3,3,0,6,4,0,66,0
Mandi Schoen, mandischoen@dpi.dev,student,,7,8,0,1,1,4,3,2,1,3,6,1,1,2,8,2,80,0
Darnell Haley, darnellhaley@dpi.dev,student,,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
Graham Towne, grahamtowne@dpi.dev,student,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Shondra Gerlach, shondragerlach@dpi.dev,student,,8,3,0,8,0,2,0,1,6,2,5,3,0,1,2,2,80,0
Coletta Barrows, colettabarrows@dpi.dev,ta,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Marleen Heidenreich, marleenheidenreich@dpi.dev,student,,6,7,0,2,0,2,1,2,0,0,2,1,1,4,10,2,80,0
Jeni Kuhic, jenikuhic@dpi.dev,student,,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Dee Smith, deesmith@dpi.dev,instructor,,8,0,0,29,14,3,3,0,8,1,0,24,1,6,1,1,54,0
Anamaria Keebler, anamariakeebler@dpi.dev,student,,5,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,38,0
Man Effertz, maneffertz@dpi.dev,instructor,,5,0,0,4,5,1,4,0,0,0,0,3,0,0,4,0,87,0
Angelo Kihn, angelokihn@dpi.dev,student,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
Zack Lueilwitz, zacklueilwitz@dpi.dev,ta,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmundo Nader, edmundonader@dpi.dev,student,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Letisha Botsford, letishabotsfor@dpi.dev,ta,,8,0,0,7,0,0,1,0,4,0,0,5,0,0,1,1,87,0
Rachele Funk, rachelefunk@dpi.dev,student,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0
Leia Thiel, leiathiel@dpi.dev,student,,4,5,2,0,0,2,2,1,0,1,0,0,1,3,1,0,48,0
Mozell Jaskolski, mozelljaskolski@dpi.dev,ta,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
Evette D'Amore, evettedamore@dpi.dev,student,,5,2,0,0,0,0,2,1,0,0,1,0,0,1,0,1,63,0
