name,emails,role,groups,days online,posts,edits to posts,answers,edits to answers,followups,replies to followups,instructor good question,instructor good answer,instructor good comment,student good question,student thanks on answer,student helpful on followups,good question given,thanks on answers given,helpful on followups given,post views,live q&a upvotes
,jeff@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasandra Spencer,lasandraspencer@dpi.dev,student,,6,3,0,0,0,4,0,0,0,0,0,0,1,1,1,0,16,0
Marguerite Turcotte,margueriteturcotte@dpi.dev,ta,,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0
Josiah Ernser,josiahernser@dpi.dev,student,,7,4,0,2,0,2,0,0,0,0,1,0,0,3,7,1,50,0
Andres Fadel,andresfadel@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cruz Armstrong,cruzarmstrong@dpi.dev,student,,8,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,45,0
Malcom Ziemann,malcomziemann@dpi.dev; jack@toy.co; abe@kuhic.name,student,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darcy Hilll,darcyhilll@dpi.dev,student,,7,10,0,2,0,4,3,3,0,0,10,1,0,4,10,5,52,0
Janean Dach,janeandach@dpi.dev,student,,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Napoleon Carter, napoleoncarter@dpi.dev,student,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
Marivel Ullrich II, marivelullrichii@dpi.dev; shantelle_ledner@herman-senger.net,instructor,,6,0,1,35,3,5,2,0,0,0,0,23,1,6,5,1,67,0
Micaela Fritsch, micaelafritsch@dpi.dev,student,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Gina Hayes, ginahayes@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Von Bayer, vonbayer@dpi.dev,student,,7,5,0,6,2,1,0,0,3,0,2,2,0,2,5,1,95,0
Winford Hilpert, winfordhilpert@dpi.dev,student,,8,7,1,2,0,2,1,1,0,0,2,1,1,0,1,0,67,0
Caren Reichel, carenreichel@dpi.dev,student,,7,3,0,0,0,0,2,0,0,0,2,0,0,0,0,1,64,0
Sage Walter Jr., sagewalterjr@dpi.dev,student,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,134,0
Dwana Paucek, dwanapaucek@dpi.dev,student,,6,2,0,3,0,0,0,0,0,0,0,1,0,13,3,1,69,0
Mandi Schoen, mandischoen@dpi.dev,student,,7,10,2,10,1,5,1,2,1,0,7,6,3,0,2,1,64,0
Darnell Haley, darnellhaley@dpi.dev,student,,5,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,85,0
Graham Towne, grahamtowne@dpi.dev,student,,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24,0
Shondra Gerlach, shondragerlach@dpi.dev,student,,8,4,0,2,0,1,0,1,1,0,2,2,0,0,3,1,67,0
Coletta Barrows, colettabarrows@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marleen Heidenreich, marleenheidenreich@dpi.dev,student,,8,4,0,1,0,5,0,0,0,2,4,1,2,2,2,0,66,0
Jeni Kuhic, jenikuhic@dpi.dev,student,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0
Dee Smith, deesmith@dpi.dev,instructor,,5,0,0,13,9,2,1,0,0,0,0,7,1,1,1,1,33,0
Anamaria Keebler, anamariakeebler@dpi.dev,student,,3,4,0,0,0,1,0,0,0,0,1,0,1,0,2,0,14,0
Man Effertz, maneffertz@dpi.dev,instructor,,3,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,36,0
Angelo Kihn, angelokihn@dpi.dev,student,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
Zack Lueilwitz, zacklueilwitz@dpi.dev,ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edmundo Nader, edmundonader@dpi.dev,student,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Letisha Botsford, letishabotsfor@dpi.dev,ta,,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,0
Rachele Funk, rachelefunk@dpi.dev,student,,6,2,2,0,0,1,0,0,0,0,0,0,0,3,1,0,51,0
Leia Thiel, leiathiel@dpi.dev,student,,5,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,97,0
Mozell Jaskolski, mozelljaskolski@dpi.dev,ta,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Evette D'Amore, evettedamore@dpi.dev,student,,6,1,0,0,0,0,0,0,0,0,1,0,0,1,5,0,83,0
